CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
YJLVMTVZVJSNHG-UHFFFAOYSA-N	7AC	7-(aminomethyl)-6-(2-chlorophenyl)-1-methyl-1h-benzimidazole-5-carbonitrile
VNWAULKXOPRJEL-UHFFFAOYSA-N	7AD	9-amino-n-[3-(dimethylamino)propyl]acridine-4-carboxamide
WWTNLDQWEKRXNB-IBGZPJMESA-N	7AE	n-[2-{4-[(2s)-4-(methylsulfonyl)morpholin-2-yl]-1,3-thiazol-2-yl}-4-(morpholin-4-yl)phenyl]-1h-imidazole-2-carboxamide
JBYBUNCIQMPTHL-MJGOQNOKSA-N	7AF	~{n}-[(2~{s})-1-[[(2~{s})-2,3-dimethylbutyl]amino]-4-methyl-1-oxidanylidene-pentan-2-yl]-(phenylmethoxycarbonylaminomethyl)phosphonamidic acid
SWMTYUKJYOOTOO-KRWDZBQOSA-N	7AG	~{n}'-(3-aminocarbonylphenyl)-~{n}-[[1-[(2~{r})-2-phenylpropyl]-1,2,3-triazol-4-yl]methyl]pentanediamide
UQJDOYKPKPJIFW-UHFFFAOYSA-N	7AH	2-(4-fluorophenyl)-n-(3-piperidin-4-yl-1h-indol-5-yl)ethanamide
AADVCYNFEREWOS-OBRABYBLSA-N	7AK	(+)-discodermolide
FWELKNKHGIBMRD-SFHVURJKSA-N	7AM	[[(2~{s})-2-[[6-(4-methylphenyl)thieno[2,3-d]pyrimidin-4-yl]amino]-3-phenyl-propanoyl]amino]phosphonic acid
ADPRPNXHOYFHIT-BBIVZNJYSA-N	7AP	(1s,2s)-1-(2,4-diaminopteridin-6-yl)propane-1,2-diol
MYKVEESSMOYIFU-CQSZACIVSA-N	7AR	(2r)-2-(5,6-dichloro-1,3-dioxo-1,3-dihydro-2h-isoindol-2-yl)-3-phenylpropanoic acid
ZVRLJSQZXQQABF-OLOBTLGRSA-N	7AS	4-fluoro-n-{1-[(z)-iminomethyl]cyclopropyl}-n~2~-{(1s)-2,2,2-trifluoro-1-[4'-(methylsulfonyl)[1,1'-biphenyl]-4-yl]ethyl}-l-leucinamide
WVKQOUHVRYIFOL-JJNLEZRASA-N	7AT	1-(5-o-phosphono-beta-d-ribofuranosyl)-3-(1h-1,2,3-triazol-5-yl)-1h-pyrazolo[3,4-d]pyrimidin-4-amine
GOAZOFMNXDONAU-UHFFFAOYSA-N	7AV	{2-[(4-chlorophenyl)methoxy]phenyl}{5-[2-(methylamino)-1,3-thiazol-4-yl]-2,3-dihydro-1h-indol-1-yl}methanone
SMWGYCRIYRMWHW-HFASVGIHSA-N	7AW	n~2~-(methyl{[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl}carbamoyl)-n-[(2r,5s)-1-phenyl-5-{[(1,3-thiazol-5-ylmethoxy)carbonyl]amino}octan-2-yl]-l-valinamide
KULHKTUYJZTZIY-UHFFFAOYSA-N	7AX	7-(2-(2-(2,4-dioxo-3,4-dihydropyrimidin-1(2h)-yl)ethoxy)phenoxy)-2-naphthonitrile
KFUNYNPQHKSQRQ-UHFFFAOYSA-N	7AY	5-chloro-7-(2-(2-(2,4-dioxo-3,4-dihydropyrimidin-1(2h)-yl)ethoxy)phenoxy)-8-methyl-2-naphthonitrile
IASBEZUWLDLXMF-YFKPBYRVSA-N	7B0	(2~{s})-6-azanyl-2-(sulfamoylamino)hexanoic acid
HKPGTWCJLYFZSN-LJDSDSDDSA-N	7B6	(2~{s})-6-azanyl-2-[[(2~{r})-1-[[(1~{r},2~{s},4~{s})-2-bicyclo[2.2.1]heptanyl]amino]-3-cyclohexyl-1-oxidanylidene-propan-2-yl]carbamoylamino]hexanoic acid
VJEMAKQKNYWEFQ-GOSISDBHSA-N	7B7	1-(4-aminobenzyl)-3-{2-[(2r)-2-(2-methoxyphenyl)pyrrolidin-1-yl]-2-oxoethyl}urea
MUOMSHSMJCWQFH-UHFFFAOYSA-N	7B8	3-[2-[4-[2-[[4-[(3-aminocarbonylphenyl)amino]-4-oxidanylidene-butanoyl]amino]ethyl]-1,2,3-triazol-1-yl]ethylsulfamoyl]benzoic acid
HVXBOLULGPECHP-WAYWQWQTSA-N	7BA	combretastatin a4
RVJFTXMCSWVIBW-FXJSDQFGSA-N	7BB	trans-4-({[(e)-1-amino-2-sulfanylethenyl](4-carboxybutyl)carbamoyl}oxy)cyclohexanecarboxylic acid
LASWLEUVWJDDBA-UHFFFAOYSA-N	7BD	3-[(9h-fluoren-9-ylideneamino)oxy]propanoic acid
BWUCHLRCLVDMCC-SANMLTNESA-N	7BE	(2~{r})-6,6,9,9-tetramethylspiro[3,4,7,8-tetrahydrobenzo[g]chromene-2,2'-3,4-dihydrochromene]-6'-carboxylic acid
DTTUAYCVFOVSDP-DDFXLWFNSA-O	7BG	2-amino-7-benzyl-9-(2-deoxy-2-fluoro-5-o-phosphono-beta-d-arabinofuranosyl)-6-oxo-6,9-dihydro-1h-purin-7-ium
WWRSQXLLQVERHE-UHFFFAOYSA-N	7BJ	3-[2-(4-fluoranylphenoxy)ethyl]-1,3-diazaspiro[4.5]decane-2,4-dione
WMVNTKWNIVSPIC-FQEVSTJZSA-N	7BK	2-fluoranyl-5-[2-[(4~{r})-4-methyl-2-oxidanylidene-4-phenyl-pyrrolidin-1-yl]ethoxy]benzenecarbonitrile
DVYYXLNVAXSASA-BEVCVMOBSA-N	7BL	(4s,5e,8s,9e,11s,13e,15e,18r)-4-hydroxy-8-methoxy-9,11-dimethyl-18-[(1z,4e)-2-methylhexa-1,4-dien-1-yl]oxacyclooctadeca-5,9,13,15-tetraen-2-one
ZXBQUZQFTWNQON-CYBMUJFWSA-N	7BP	5-[2-[(4~{s})-4-~{tert}-butyl-2-oxidanylidene-pyrrolidin-1-yl]ethoxy]-2-fluoranyl-benzenecarbonitrile
SYEMWCXBADSSGE-OAHLLOKOSA-N	7BR	2-fluoranyl-5-[2-[(4~{s})-4-[4-methyl-1,1-bis(oxidanylidene)thian-4-yl]-2-oxidanylidene-pyrrolidin-1-yl]ethoxy]benzenecarbonitrile
QLNOFWPLTFNJPW-CMAVNLJPSA-N	7BS	(4s,5e,8s,9e,11s,13e,15e,18r)-8-methoxy-9,11-dimethyl-18-[(1z,4e)-2-methylhexa-1,4-dien-1-yl]-2-oxooxacyclooctadeca-5,9,13,15-tetraen-4-yl 3-o-methyl-beta-d-glucopyranoside
GRUADGBFIDAGDY-UHFFFAOYSA-N	7BW	5-[2-(4,4-dimethyl-2-oxidanylidene-pyrrolidin-1-yl)ethoxy]-2-fluoranyl-benzenecarbonitrile
IQBVFUJHLUVSIM-UHFFFAOYSA-N	7BX	3-cyano-~{n}-cyclopropyl-benzenesulfonamide
GDDIMJLTIBWEHU-UHFFFAOYSA-N	7BY	n-(3-{[6,7-dimethoxy-2-(pyrrolidin-1-yl)quinazolin-4-yl]amino}propyl)propanamide
SDWBRBLWPQDUQP-UHFFFAOYSA-N	7BZ	n,n-dimethylboranamine
DQQXROXESDJIDM-LBPRGKRZSA-N	7C0	(1s)-6-amino-1-(3-chlorophenyl)hexyl hydrogen carbonate
KDWKLFURLBISCV-UHFFFAOYSA-N	7C1	4-(4-methyl-1,3-dioxo-1,3-dihydro-2h-isoindol-2-yl)benzenecarboximidamide
BLHICXSRHDZESY-LLVKDONJSA-N	7C2	(6r)-1-aminoundecan-6-yl hydrogen carbonate
GWENQMVPLJAMAE-UHFFFAOYSA-N	7C3	6-azanyl-2-oxidanylidene-hexanoic acid
KYHUYMLIVQFXRI-SJPGYWQQSA-N	7C4	(2~{s})-~{n}-[(2~{r})-1-[[(3~{s},6~{s},8~{s},12~{s},13~{r},16~{s},17~{r},20~{s},23~{s})-13-[(2~{s})-butan-2-yl]-20-[(4-methoxyphenyl)methyl]-6,17,21-trimethyl-3-(2-methylpropyl)-12-oxidanyl-2,5,7,10,15,19,22-heptakis(oxidanylidene)-8-propan-2-yl-9,18-dioxa-1,4,14,21-tetrazabicyclo[21.3.0]hexacosan-16-yl]amino]-4-methyl-1-oxidanylidene-pentan-2-yl]-~{n}-methyl-1-[(2~{s})-2-oxidanylpropanoyl]pyrrolidine-2-carboxamide
INIBCQZJBGQGDM-NCEGKOTBSA-N	7C5	5'-o-(2-amino-4-oxo-1,4-dihydropteridine-6-carbonyl)adenosine
MXNQASHPCAMJHG-UCMVZMLTSA-N	7C6	(3s,3as,9bs)-2-[(2h-1,3-benzodioxol-5-yl)sulfonyl]-3,5-dimethyl-1,2,3,3a,5,9b-hexahydro-4h-pyrrolo[3,4-c][1,6]naphthyridin-4-one
VBXXQNRGFBZKES-NSOVKSMOSA-N	7C7	n,n-diethyl-n~2~-(3-phenylpropanoyl)-l-asparaginyl-o-methyl-n-[(naphthalen-1-yl)methyl]-l-serinamide
KNTFCRCCPLEUQZ-VKHMYHEASA-N	7C9	o-methyl-l-serine
PFVZUXQCELCLBL-LVKFHIPRSA-N	7CA	5,7-dihydroxy-2-(4-methoxyphenyl)-8-(3-methylbutyl)-4-oxo-4h-chromen-3-yl 6-deoxy-alpha-l-mannopyranoside
OJVQWQDVWYYNQG-LURJTMIESA-N	7CC	n,n-diethyl-l-asparagine
NVSYANRBXPURRQ-UHFFFAOYSA-N	7CD	1-(naphthalen-1-yl)methanamine
OYEYZLGQJNQHMY-UHFFFAOYSA-N	7CE	n-(2-methoxyphenyl)-2-(1,3-oxazol-5-yl)-1h-pyrrolo[3,2-c]pyridin-6-amine
LCYHXWIEMRESTK-KCGFPETGSA-N	7CH	(2s,4ar,6r,7r,7as)-6-(4-amino-7h-pyrrolo[2,3-d]pyrimidin-7-yl)tetrahydro-4h-furo[3,2-d][1,3,2]dioxaphosphinine-2,7-diol 2-oxide
LTOZELYBRTWMHC-UHFFFAOYSA-N	7CK	7-carboxy-5-hydroxy-12,13-dihydro-6h-indolo[2,3-a]pyrrolo[3,4-c]carbazole
SQCZQTSHSZLZIQ-UHFFFAOYSA-N	7CL	1-chloropentane
XGUIMGJMQKZRGM-LLVKDONJSA-N	7CP	(4r)-7,8-dichloro-1',9-dimethyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile
WQGFCATXRXQKNB-GDNZZTSVSA-N	7CS	(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl 1h-pyrrolo[2,3-b]pyridine-3-carboxylate
NYYIGJQYEWZYJP-VIFPVBQESA-N	7CU	5-{[(2s)-2-aminopropyl]amino}-3-(1h-indol-2-yl)pyrazine-2-carboxamide
UGRNVLGKAGREKS-GCXDCGAKSA-N	7CY	(1r,2s,3r,5r)-3-(6-amino-9h-purin-9-yl)-5-(hydroxymethyl)cyclopentane-1,2-diol
DNBQDZRBEGFUEA-UHFFFAOYSA-N	7CZ	2-hydroxycyclohepta-2,4,6-triene-1-thione
OELVGHAKNLUBRS-HUXGKSLCSA-N	7D0	(1~{r},2~{s},3~{s},4~{r},5~{s},6~{s})-5-[3,5-bis(fluoranyl)phenoxy]-1-(hydroxymethyl)bicyclo[4.1.0]heptane-2,3,4-triol
QFHKFGOUFKUPNX-PBXRRBTRSA-N	7D1	(2~{r},3~{s},4~{r})-2-(hydroxymethyl)oxane-3,4-diol
ULOOKVKTDMQWTG-JMELQFKFSA-N	7D2	(1~{r},2~{s},3~{s},4~{s},5~{s},6~{s})-1-(hydroxymethyl)bicyclo[4.1.0]heptane-2,3,4,5-tetrol
HJOFGDMHIXEUNX-OXOINMOOSA-N	7D3	[(2s,3r,4r)-4-(6-amino-9h-purin-9-yl)-3-(hydroxymethyl)oxetan-2-yl]methyl trihydrogen diphosphate
QPXUYEBFFPGHRP-OXOINMOOSA-N	7D4	[[(2~{s},3~{r},4~{r})-4-(6-aminopurin-9-yl)-3-(hydroxymethyl)oxetan-2-yl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate
YHDKOVKCJODYNM-OXOINMOOSA-N	7D5	[(2s,3r,4r)-4-(6-amino-9h-purin-9-yl)-3-(hydroxymethyl)oxetan-2-yl]methyl dihydrogen phosphate
OZPFIJIOIVJZMN-SFHVURJKSA-N	7D6	(s)-orteronel
LMJVXGOFWKVXAW-OXOINMOOSA-N	7D7	[(2s,3r,4r)-4-(6-amino-9h-purin-9-yl)oxetane-2,3-diyl]dimethanol
QSRAFSPBHBMPLO-TXXZRHAASA-N	7D8	(1~{r},2~{s},3~{s},4~{s},6~{r})-4-fluoranyl-1-(hydroxymethyl)bicyclo[4.1.0]heptane-2,3-diol
TZDQUUMSMXVHAK-LWGWVAHUSA-N	7D9	(16~{r})-11,12,14,14-tetramethyl-3,5-bis(oxidanylidene)-8-[(2~{s},3~{s},4~{r})-2,3,4-tris(oxidanyl)-5-phosphonooxy-pentyl]-1,4,6,8-tetrazatetracyclo[7.7.1.0^{2,7}.0^{13,17}]heptadeca-2(7),9(17),10,12-tetraene-16-sulfonic acid
JNMXDKIIPORENX-DJLDLDEBSA-N	7DA	7-deaza-2'-deoxyadenosine-5'-monophosphate
NCKAOCPROMQFJK-KCGFPETGSA-N	7DD	7-deazaadenosine-5'-diphosphate
MSYGAHOHLUJIKV-UHFFFAOYSA-N	7DE	3,5-dimethyl-1-(3-nitrophenyl)-1h-pyrazole-4-carboxylic acid ethyl ester
FLEPJXXPLHDGAH-XKSWNSKZSA-N	7DF	dihydropentalenolactone f
LOSIULRWFAEMFL-UHFFFAOYSA-N	7DG	7-deazaguanine
HNSFAKGAIZARCR-GOSISDBHSA-N	7DJ	n-[(2r)-2,3-dihydroxy-2-methylpropyl]-8-(methylamino)-6-[(2,3,5,6-tetrafluorophenyl)amino]imidazo[1,2-b]pyridazine-3-carboxamide
VWVJGQUMBHIISP-SQEWALACSA-N	7DK	 methyl ((15s)-15-(((2e)-3-(5-chloro-2-(1h-tetrazol-1-yl)phenyl)-2-propenoyl)amino)-9-oxo-8,17,19-triazatricyclo[14.2.1.0~2,7~]nonadeca-1(18),2,4,6,16(19)-pentaen-5-yl)carbamate 
OFZZWFXXZYRSIS-PZVJUEDKSA-N	7DL	((15s)-18-chloro- 15-(((2e)-3-(5-chloro-2-(1h-tetrazol-1-yl)phenyl)-2- propenoyl)amino)-17,19-diazatricyclo[14.2.1.0~2,7~]nonadeca-1(18),2,4,6,16(19)-pentaen-5-yl)carbamate
RPPMJWDFCWLZHA-UHFFFAOYSA-N	7DM	4-hydroxy-2-oxo-1,2-dihydroquinoline-6-carboxylic acid
NLKZRAQTODORFW-NVQXNPDNSA-N	7DN	2-{2-[(1s,2s)-2-{[1-(8-methylquinolin-2-yl)piperidine-4-carbonyl]amino}cyclopentyl]ethyl}benzoic acid
QKLZHVMWTSBUFL-UHFFFAOYSA-N	7DR	6-ethyl-5-[3-(5-methoxybiphenyl-3-yl)prop-1-yn-1-yl]pyrimidine-2,4-diamine
LCHKINZSWVDWJQ-XYWZPVONSA-N	7DS	methyl ((12e,15s)-15-(((2e)-3-(5-chloro-2-(1h-tetrazol-1-yl)phenyl)-2-propenoyl)amino)-9-oxo-8,17,19-triazatricyclo[14.2.1.0~2,7~]nonadeca-1(18),2,4,6,12,16(19)-hexaen-5-yl)carbamate
GVVRDIINMFAFEO-KCGFPETGSA-N	7DT	7-deazaadenosine-5'-triphosphate
GIXLTJURKGIRDL-IWVUWWQKSA-N	7DW	11-(4-fluorophenyl)-n-[(2s,3s,4r)-1-(alpha-d-galactopyranosyloxy)-3,4-dihydroxyoctadecan-2-yl]undecanamide
APWRCWKBBYBSJJ-QFIPXVFZSA-N	7DX	(2~{s})-2-cyclohexyl-4-oxidanylidene-4-[[7-(4-phenyl-1,3-thiazol-2-yl)quinolin-2-yl]amino]butanoic acid
QLYKJCMUNUWAGO-GAJHUEQPSA-N	7DY	n-[(2s,3s)-4-(4-chlorophenyl)-3-(3-cyanophenyl)butan-2-yl]-2-methyl-2-{[5-(trifluoromethyl)pyridin-2-yl]oxy}propanamide
DTEKTGDVSARYDS-NSHDSACASA-N	7DZ	(7s)-2-[(3,5-difluoro-4-hydroxyphenyl)amino]-5,7-dimethyl-8-(3-methylbutyl)-7,8-dihydropteridin-6(5h)-one
LZAJKCZTKKKZNT-QMIVOQANSA-N	7E0	trichothecene
FINMBDLAPNASJO-LUXHBGHRSA-N	7E1	6-{4-[(1s,4s,6r)-6-[(3-chlorophenoxy)sulfonyl]-3-(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-2-en-2-yl]phenyl}hex-5-enoic acid
HNARFQKWJFMVHB-BOCWGRARSA-N	7E3	5-{4-[(1s,4s,6r)-6-[(3-chlorophenoxy)sulfonyl]-3-(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-2-en-2-yl]phenoxy}pentanoic acid
XHABYXGKUZQAIW-APPZFPTMSA-N	7E5	(2~{s},4~{r})-4-(2-carboxyphenoxy)pyrrolidine-2-carboxylic acid
LVBAGTJIDOCNIJ-XITLMJRVSA-N	7E8	(2r)-2,3-dihydroxypropyl (7z)-tetradec-7-enoate
SSMGVWSPWWDBRB-FPLPWBNLSA-N	7E9	1,3-dihydroxypropan-2-yl (z)-tetradec-7-enoate
YNKCCGVYPDHFPQ-BXTSTYNKSA-N	7EB	4-bromophenyl (1s,2r,4s)-6-{4-[2-(dimethylamino)ethoxy]phenyl}-5-(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate
HDHZSSXXZAIHCP-WTNLLYQRSA-N	7EC	4-bromophenyl (1s,2r,4s)-5-(4-hydroxyphenyl)-6-{4-[2-(piperidin-1-yl)ethoxy]phenyl}-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate
XRQONWRQMXAXHV-ZKPVUCJJSA-N	7ED	8-{[2,3-bis(4-hydroxyphenyl)pentanoyl]oxy}octyl (2r,3s)-2,3-bis(4-hydroxyphenyl)pentanoate
FQPSDHHNLDJLLV-JMTTVTNBSA-N	7EE	(14beta,17alpha)-21-(4-aminophenyl)-19-norpregna-1(10),2,4-trien-20-yne-3,17-diol
DKFBDLFTKAPOGF-UHFFFAOYSA-N	7EF	4-[2-(3-methylbut-2-en-1-yl)-7-(trifluoromethyl)-2h-indazol-3-yl]benzene-1,3-diol
SFUGTTJDFJMSGN-RGVLZGJSSA-N	7EG	2~3~-[(e)-(hydroxyimino)methyl][1~1~,2~1~:2~2~,3~1~-terphenyl]-1~4~,2~4~,3~4~-triol
UZJBSXZLYIGJOT-UHFFFAOYSA-N	7EH	3-methyl-6-phenyl-3h-imidazo[4,5-b]pyridin-2-amine
UPNYTTDLLBLJGJ-VIZOYTHASA-N	7EL	2-chloro-4-[(e)-(hydroxyimino)methyl][1,1'-biphenyl]-3,4'-diol
PDYDEVVHZXJAQO-UHFFFAOYSA-N	7EM	4,4',4''-(thiene-2,3,5-triyl)triphenol
UXPFSXONZPFVSC-UHFFFAOYSA-N	7EN	(1s)-2,3-bis(2-chloro-4-hydroxyphenyl)-1h-1lambda~4~-thiophen-1-one
YOPQDLAJQVMTRC-UHFFFAOYSA-N	7EO	2,5-bis(2-chloro-4-hydroxyphenyl)-1h-1lambda~4~-thiophen-1-one
SKOKQNRJVBPEBM-ZDBHGNHJSA-N	7EP	(2r,4s)-2-[(1r)-1-{[(2,6-dimethoxyphenyl)carbonyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid
GMLSANCLAZBGAQ-UHFFFAOYSA-N	7EQ	2,5-bis(2-fluoro-4-hydroxyphenyl)-1h-1lambda~4~-thiophen-1-one
NSLCRKQKPFUSRU-UHFFFAOYSA-N	7ER	3,4-bis(2-fluoro-4-hydroxyphenyl)-1h-1lambda~6~-thiophene-1,1-dione
KKTKAMKVBQSPOV-UHFFFAOYSA-N	7ES	4,4'-(thiene-2,3-diyl)bis(3-fluorophenol)
CDPBUZINJDWTIR-WTNLLYQRSA-N	7ET	3-fluorophenyl (1s,2r,4s)-5-(4-hydroxyphenyl)-6-{4-[2-(piperidin-1-yl)ethoxy]phenyl}-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate
LSALAYUZMCPLPU-BOCWGRARSA-N	7EV	5-{4-[(1s,4s,5r)-5-[(4-bromophenoxy)sulfonyl]-3-(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-2-en-2-yl]phenoxy}pentanoic acid
RAOULLCLLOGTDA-UHFFFAOYSA-N	7EY	3-[5-(4-methylphenyl)thieno[2,3-d]pyrimidin-4-yl]sulfanylpropanoic acid
AZZZSQJQBKRGDX-LGBXHZPNSA-N	7F1	(2s)-n-[(e,2s)-1-(1h-indol-3-yl)-4-methylsulfonyl-but-3-en-2-yl]-2-[[(2s)-3-(1h-indol-3-yl)-2-(2-morpholin-4-ylethanoylamino)propanoyl]amino]-4-methyl-pentanamide
UDQUVXUVXUGJFO-QHCPKHFHSA-N	7F3	(1s)-4-fluoro-1-(4-fluoro-3-pyrimidin-5-ylphenyl)-1-[2-(trifluoromethyl)pyridin-4-yl]-1h-isoindol-3-amine
BOWUOGIPSRVRSJ-RXMQYKEDSA-N	7F4	(3~{r})-3-azanylazepan-2-one
XNNXUOKGLOGLRV-UHFFFAOYSA-N	7F5	3-(3-fluorophenyl)-n-{2-[2-(5-methyl-1h-imidazol-1-yl)pyrimidin-4-yl]ethyl}propan-1-amine
QOFJUFQRGNVZPX-KOSUEXCASA-N	7F7	[6-methyl-5-oxidanyl-4-[(~{e})-[(3~{r})-2-oxidanylideneazepan-3-yl]iminomethyl]pyridin-3-yl]methyl dihydrogen phosphate
YRTAPVLIGYRBPY-UHFFFAOYSA-N	7F9	~{n}-[2-(ethylamino)-2-oxidanylidene-ethyl]-~{n}-(4-methoxyphenyl)-2,4-bis(oxidanyl)benzamide
PYIHGLSRUVHCML-YMLCEXCJSA-N	7FA	methyl (r)-(6z,9z,12z)-octadeca-6,9,12-trien-1-ylphosphonofluoridate
FHKSXSQHXQEMOK-ZCFIWIBFSA-N	7FB	(2r)-hexane-1,2-diol
CFWCAEJMOUILDR-UHFFFAOYSA-N	7FC	4-[6,8-bis(chloranyl)-3-oxidanyl-4-oxidanylidene-chromen-2-yl]benzoic acid
MKPHJXXMCBKSTI-UHFFFAOYSA-N	7FD	ethyl 3-{4-[cyclohexylidene(4-hydroxyphenyl)methyl]phenyl}prop-2-enoate
WJKWCGYIPOTSBR-UHFFFAOYSA-N	7FE	~{n}-[4-(2-chloranyl-5-methyl-pyrimidin-4-yl)phenyl]-2,4-bis(oxidanyl)-~{n}-[[4-(pyrrolidin-1-ylmethyl)phenyl]methyl]benzamide
NRFKTHKRWVPCRM-UHFFFAOYSA-N	7FF	methyl 6-azanyl-3,4-dihydro-2h-quinoline-1-carboxylate
RHVDRAUCYCKSOX-OYRHEFFESA-N	7FG	ethyl 3-(4-{[(1s,5s)-bicyclo[3.3.1]nonan-9-ylidene](4-hydroxyphenyl)methyl}phenyl)prop-2-enoate
CWWMSAVJLUCBNA-UHFFFAOYSA-N	7FH	1-hydroxy-5-(trifluoromethyl)pyridine-2(1h)-thione
GYIQBNATKDEJGJ-UHFFFAOYSA-N	7FJ	4,4'-[(1,3-dihydro-2h-inden-2-ylidene)methylene]diphenol
UIQMIQCVIZUPCD-FNORWQNLSA-N	7FK	15-chloro-16,18-dihydroxy-2-methyl-3,4,7,8,9,10,11,12-octahydrobenz[c][1]azacyclohexadecine-1,13(2h,14h)-dione
XVTAYJKFHUKWSR-UHFFFAOYSA-N	7FL	4,4'-(cycloheptylidenemethylene)diphenol
FOLRUTAUDNCQAE-UHFFFAOYSA-N	7FM	25-(methylsulfonyl)-8-(trifluoromethyl)-5,17,18,21,22,23,24,25-octahydro-12h-7,11-(azeno)-16,13-(metheno)pyrido[3,2-i]pyrrolo[1,2-q][1,3,7,11,17]pentaazacyclohenicosin-20(6h)-one
FWEJGVBPHYGBQX-YZUZCNPQSA-N	7FO	4-iodophenyl (1s,2r,4s)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate
MNNBNPWDCGOXMP-PPJWLVRDSA-N	7FP	4-(acetylamino)phenyl (1s,2r,4s)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hept-5-ene-2-sulfonate
BREKPNLFASZYNM-NIPAYODJSA-N	7FQ	(9beta,13alpha,14beta,16alpha,17alpha)-16-[(4-methoxyphenyl)methyl]estra-1,3,5(10)-triene-3,17-diol
CTWOLQRQVWTFGD-WTQQAOPHSA-N	7FR	(9beta,13alpha,17z)-17-{[4-(propan-2-yl)phenyl]imino}estra-1,3,5(10)-trien-3-ol
LVNCYXCFAYKFQG-VKINHPFQSA-N	7FS	(9beta,13alpha,17beta)-17-{[4-(propan-2-yl)phenyl]amino}estra-1(10),2,4-trien-3-ol
JTWKTGKIUURTLG-UHFFFAOYSA-N	7FU	2-hydrazino-1,3-benzothiazole-6-carbohydrazide
ZPNZQVNPYMEKML-KRWDZBQOSA-N	7FV	[2,4-bis(oxidanyl)phenyl]-[(2~{s})-2-methyl-6-(3-methylquinolin-2-yl)-3,4-dihydro-2~{h}-quinolin-1-yl]methanone
ZFKNKAYLMPNXQG-UHFFFAOYSA-N	7FW	~{n}-[4-[methyl(quinoxalin-6-ylmethyl)carbamoyl]phenyl]-2,4-bis(oxidanyl)-~{n}-(phenylmethyl)benzamide
LQNBNBOAGAFNTE-NSHDSACASA-N	7FX	[2,4-bis(oxidanyl)phenyl]-[(7~{s})-7-(trifluoromethyl)-6,7-dihydro-5~{h}-pyrazolo[1,5-a]pyrimidin-4-yl]methanone
APAOLMVDZOWNQC-UHFFFAOYSA-N	7FY	~{n}-[4,5-bis(oxidanylidene)cyclohexen-1-yl]-4-phenyl-benzenesulfonamide
UCXWFKNKSWDWCD-INIZCTEOSA-N	7FZ	(1s)-5-(4-hydroxy-3,5-dimethylphenyl)-2,3-dihydro-1h-inden-1-ol
CEOUGJNTPKXUFS-SDADXPQNSA-N	7G0	(1s,3as,5s,7as)-5-(4-hydroxyphenyl)-7a-methyloctahydro-1h-inden-1-ol
BGBMCMKSOQATFR-MGHWNKPDSA-N	7G1	(1s,1's,3a's,7a's)-7a'-methyl-1',2,2',3,3',3a',4',6',7',7a'-decahydro-1,5'-spirobi[indene]-1',5-diol
ZDSSMGFPICRDHW-VIZOYTHASA-N	7G2	3-fluoro-3'-[(e)-(hydroxyimino)methyl][1,1'-biphenyl]-4,4'-diol
INQGQXOIWVULMW-ZSOIEALJSA-N	7G3	3-[(z)-(hydroxyimino)methyl][1,1'-biphenyl]-4,4'-diol
WTIPNJGTHSVJRN-UHFFFAOYSA-N	7G5	3,4-bis(4-hydroxyphenyl)-2,5-dihydro-1h-1lambda~6~-thiophene-1,1-dione
XMKDPSQQDXTCCK-LURJTMIESA-N	7GA	2,4-dimethylpentanal
UEDYOLMWFOHHRV-BENRWUELSA-N	7GF	methyl (2z)-3-azanyl-2-[3-(4-bromophenyl)-4-oxidanylidene-1,3-thiazolidin-2-ylidene]propanoate
SHKLUCMYFCYADL-KHPPLWFESA-N	7GG	6-[(~{z})-2-(diethylamino)ethenyl]-~{n}-phenyl-7~{h}-purin-2-amine
HZNQONMMEIJNNU-UHFFFAOYSA-N	7GJ	3-[[6-(cyclohexylmethoxy)-7~{h}-purin-2-yl]amino]-~{n},~{n}-dimethyl-benzamide
SNVFFECYFQEWTL-UHFFFAOYSA-N	7GL	6-[(3,5-dimethylphenyl)amino]-8-(methylamino)imidazo[1,2-b]pyridazine-3-carboxamide
NBLYVOKOJMLIRY-MRXNPFEDSA-N	7GM	(3r)-1-(cyclopropylmethyl)-3-methyl-3-(4-methylsulfanylphenoxy)pyrrolidine
TVQLSCFCYGZTNJ-XSEHCYKFSA-N	7GP	ethyl-n-(beta-d-glucopyranosyl)oxamate
